                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                  1.636,                 1.5619,                 1.7125,                0.72887,                0.64236,                0.64243,                0.34944,                 1.7645,                 1.4959,                 1.8973,               0.009307,               0.009307,               0.009307
                     72,                  1.642,                 1.5583,                  1.709,                0.74763,                0.65212,                0.65654,                0.35498,                 1.7703,                 1.4927,                 1.9037,              0.0092971,              0.0092971,              0.0092971
                     73,                 1.6344,                  1.542,                 1.7007,                0.74856,                0.65457,                0.64983,                0.35268,                 1.7717,                 1.4885,                  1.905,              0.0092872,              0.0092872,              0.0092872
                     74,                 1.6189,                  1.505,                 1.6864,                0.79448,                0.63496,                0.65894,                0.35432,                 1.7749,                   1.49,                 1.9031,              0.0092773,              0.0092773,              0.0092773
                     75,                 1.6262,                 1.5267,                 1.6954,                0.75448,                0.66575,                0.66203,                0.36339,                 1.7747,                 1.4877,                 1.8972,              0.0092674,              0.0092674,              0.0092674
                     76,                  1.615,                 1.5111,                 1.6862,                0.77652,                0.64847,                 0.6598,                0.36357,                 1.7714,                 1.4866,                 1.8967,              0.0092575,              0.0092575,              0.0092575
                     77,                 1.6022,                  1.498,                 1.6854,                0.74362,                0.62397,                0.65423,                0.35586,                 1.7674,                 1.4856,                 1.8966,              0.0092476,              0.0092476,              0.0092476
                     78,                 1.6117,                 1.4954,                 1.6791,                0.73907,                0.65306,                0.65618,                0.35696,                 1.7694,                 1.4856,                 1.9027,              0.0092377,              0.0092377,              0.0092377
                     79,                 1.6134,                 1.4856,                 1.6784,                0.75602,                0.65138,                0.66444,                0.35835,                 1.7683,                 1.4802,                    1.9,              0.0092278,              0.0092278,              0.0092278
                     80,                 1.5955,                 1.4567,                 1.6693,                0.76149,                0.64667,                0.66732,                0.36088,                 1.7637,                 1.4816,                  1.898,              0.0092179,              0.0092179,              0.0092179
                     81,                 1.6051,                 1.4643,                 1.6751,                0.77543,                0.64219,                0.66067,                0.35842,                  1.762,                 1.4743,                 1.8952,               0.009208,               0.009208,               0.009208
                     82,                 1.5935,                 1.4585,                 1.6655,                0.78295,                0.63444,                0.66186,                0.35869,                 1.7652,                 1.4748,                 1.8963,              0.0091981,              0.0091981,              0.0091981
                     83,                  1.587,                 1.4499,                 1.6498,                0.77803,                0.63496,                0.66117,                0.35745,                 1.7652,                 1.4772,                 1.8947,              0.0091882,              0.0091882,              0.0091882
                     84,                 1.5794,                 1.4523,                 1.6456,                0.77495,                0.62371,                0.66236,                0.36102,                 1.7631,                 1.4733,                 1.8927,              0.0091783,              0.0091783,              0.0091783
                     85,                 1.5833,                 1.4424,                 1.6558,                0.72513,                0.66329,                0.66651,                0.36267,                 1.7628,                 1.4728,                 1.8919,              0.0091684,              0.0091684,              0.0091684
                     86,                 1.5795,                 1.4374,                 1.6497,                0.72507,                0.65977,                0.66162,                0.36449,                 1.7657,                 1.4711,                 1.8935,              0.0091585,              0.0091585,              0.0091585
                     87,                  1.569,                 1.4173,                 1.6392,                 0.7383,                0.64705,                0.65818,                0.36129,                 1.7625,                 1.4657,                 1.8903,              0.0091486,              0.0091486,              0.0091486
                     88,                 1.5664,                 1.4142,                  1.642,                0.73023,                0.66495,                0.66505,                0.36285,                 1.7615,                 1.4642,                 1.8928,              0.0091387,              0.0091387,              0.0091387
                     89,                 1.5633,                 1.4078,                 1.6305,                0.72712,                0.66332,                0.66871,                0.36435,                 1.7635,                 1.4606,                 1.8928,              0.0091288,              0.0091288,              0.0091288
                     90,                 1.5645,                 1.4061,                 1.6316,                0.73234,                0.65677,                0.66923,                0.36673,                 1.7641,                  1.456,                 1.8935,              0.0091189,              0.0091189,              0.0091189
                     91,                 1.5569,                 1.3931,                 1.6368,                0.74621,                0.65506,                 0.6714,                 0.3686,                 1.7625,                 1.4564,                 1.8924,               0.009109,               0.009109,               0.009109
                     92,                 1.5468,                 1.3916,                 1.6309,                0.73968,                0.65437,                0.66904,                0.36408,                 1.7636,                 1.4545,                 1.8931,              0.0090991,              0.0090991,              0.0090991
                     93,                 1.5367,                 1.3675,                 1.6139,                0.74623,                0.65496,                0.66681,                0.36973,                 1.7646,                  1.453,                 1.8955,              0.0090892,              0.0090892,              0.0090892
                     94,                  1.542,                 1.3792,                 1.6241,                0.74629,                0.65512,                0.66788,                0.37228,                 1.7659,                 1.4515,                 1.8962,              0.0090793,              0.0090793,              0.0090793
                     95,                 1.5306,                 1.3654,                 1.6135,                0.73426,                0.66522,                 0.6695,                0.36718,                  1.768,                  1.448,                 1.8973,              0.0090694,              0.0090694,              0.0090694
                     96,                 1.5397,                 1.3645,                 1.6175,                0.73058,                0.66328,                0.66853,                0.36841,                 1.7695,                 1.4458,                 1.8982,              0.0090595,              0.0090595,              0.0090595
                     97,                 1.5214,                 1.3566,                 1.6096,                0.74945,                0.65848,                0.67028,                0.37012,                 1.7693,                 1.4443,                 1.8989,              0.0090496,              0.0090496,              0.0090496
                     98,                 1.5267,                 1.3498,                 1.6102,                0.75468,                0.65516,                0.67065,                0.36926,                 1.7669,                 1.4435,                 1.8962,              0.0090397,              0.0090397,              0.0090397
                     99,                 1.5255,                 1.3462,                  1.606,                0.76293,                0.64016,                  0.671,                0.37064,                 1.7685,                 1.4428,                 1.8989,              0.0090298,              0.0090298,              0.0090298
                    100,                 1.5311,                 1.3545,                 1.6118,                0.79584,                  0.644,                0.67374,                0.37092,                 1.7654,                 1.4358,                 1.8958,              0.0090199,              0.0090199,              0.0090199
                    101,                 1.5205,                 1.3231,                 1.5992,                 0.7949,                0.63614,                 0.6727,                0.37111,                 1.7626,                 1.4322,                 1.8926,                0.00901,                0.00901,                0.00901
                    102,                 1.5104,                 1.3182,                 1.5921,                0.80065,                0.63081,                0.67378,                0.37074,                   1.76,                 1.4299,                 1.8912,              0.0090001,              0.0090001,              0.0090001
                    103,                 1.5009,                 1.3055,                 1.5948,                0.77209,                 0.6293,                0.67272,                0.37092,                 1.7602,                 1.4291,                 1.8929,              0.0089902,              0.0089902,              0.0089902
                    104,                 1.5127,                 1.3099,                 1.5893,                0.77225,                0.64561,                0.67358,                0.37138,                 1.7599,                 1.4264,                 1.8932,              0.0089803,              0.0089803,              0.0089803
                    105,                 1.5009,                 1.3072,                 1.5828,                0.77474,                0.62698,                0.67184,                0.36894,                 1.7596,                  1.426,                 1.8932,              0.0089704,              0.0089704,              0.0089704
                    106,                 1.4933,                  1.298,                 1.5834,                0.77777,                0.62255,                0.67395,                0.37076,                 1.7614,                 1.4233,                  1.895,              0.0089605,              0.0089605,              0.0089605
                    107,                 1.4923,                 1.2931,                 1.5835,                0.77593,                0.62721,                0.67479,                0.37096,                 1.7608,                  1.421,                 1.8963,              0.0089506,              0.0089506,              0.0089506
                    108,                 1.4897,                 1.2823,                  1.575,                0.78263,                0.63266,                0.67794,                0.37151,                 1.7611,                 1.4184,                 1.8973,              0.0089407,              0.0089407,              0.0089407
                    109,                 1.5004,                 1.2948,                 1.5766,                0.78509,                0.63191,                0.68027,                0.37483,                 1.7612,                 1.4186,                 1.8978,              0.0089308,              0.0089308,              0.0089308
                    110,                 1.4786,                 1.2805,                 1.5695,                0.77631,                0.63667,                0.68101,                0.37314,                 1.7603,                 1.4171,                 1.8966,              0.0089209,              0.0089209,              0.0089209
                    111,                 1.4875,                 1.2686,                 1.5769,                0.77742,                0.63895,                0.68201,                0.37324,                  1.762,                 1.4171,                 1.8975,               0.008911,               0.008911,               0.008911
                    112,                 1.4756,                 1.2632,                 1.5644,                0.75752,                0.65643,                0.68409,                0.37307,                 1.7619,                 1.4176,                 1.8969,              0.0089011,              0.0089011,              0.0089011
                    113,                 1.4685,                 1.2557,                 1.5611,                0.75471,                0.66359,                 0.6856,                0.37552,                 1.7624,                 1.4159,                 1.8977,              0.0088912,              0.0088912,              0.0088912
                    114,                  1.473,                   1.25,                 1.5572,                0.78966,                0.66379,                0.68694,                0.37523,                 1.7614,                 1.4171,                 1.8967,              0.0088813,              0.0088813,              0.0088813
                    115,                 1.4728,                 1.2542,                 1.5583,                0.78971,                0.66046,                0.68843,                0.37666,                 1.7625,                 1.4178,                 1.8973,              0.0088714,              0.0088714,              0.0088714
                    116,                 1.4708,                 1.2527,                 1.5594,                0.79395,                0.66552,                0.68805,                0.37672,                 1.7623,                  1.418,                 1.8972,              0.0088615,              0.0088615,              0.0088615
                    117,                  1.471,                 1.2353,                 1.5565,                0.79198,                0.66576,                0.68843,                 0.3776,                  1.763,                 1.4184,                 1.8968,              0.0088516,              0.0088516,              0.0088516
                    118,                 1.4646,                 1.2419,                 1.5562,                0.79215,                0.66829,                0.68835,                0.37692,                 1.7624,                 1.4175,                 1.8956,              0.0088417,              0.0088417,              0.0088417
                    119,                 1.4627,                 1.2215,                 1.5443,                0.79383,                0.66592,                0.69011,                0.37643,                 1.7626,                 1.4158,                 1.8957,              0.0088318,              0.0088318,              0.0088318
                    120,                 1.4521,                 1.2213,                  1.538,                0.79848,                0.66214,                0.69121,                 0.3781,                 1.7629,                 1.4153,                 1.8961,              0.0088219,              0.0088219,              0.0088219
                    121,                 1.4523,                 1.2324,                 1.5408,                0.76646,                0.66276,                0.68884,                0.37784,                 1.7637,                 1.4158,                 1.8957,               0.008812,               0.008812,               0.008812
                    122,                 1.4551,                 1.2129,                 1.5368,                0.75615,                0.66286,                0.68846,                0.37902,                 1.7639,                 1.4163,                 1.8966,              0.0088021,              0.0088021,              0.0088021
                    123,                 1.4518,                 1.2097,                 1.5339,                0.77708,                0.65425,                0.68878,                0.38075,                 1.7637,                 1.4146,                 1.8958,              0.0087922,              0.0087922,              0.0087922
                    124,                 1.4406,                 1.2079,                 1.5292,                0.78175,                0.65433,                0.68995,                0.38142,                 1.7634,                 1.4144,                 1.8951,              0.0087823,              0.0087823,              0.0087823
                    125,                 1.4438,                 1.2141,                  1.537,                0.73184,                0.67241,                0.69199,                0.38324,                  1.764,                 1.4151,                 1.8955,              0.0087724,              0.0087724,              0.0087724
                    126,                 1.4342,                 1.2003,                 1.5237,                0.72531,                0.67392,                 0.6914,                0.38284,                 1.7638,                 1.4149,                 1.8952,              0.0087625,              0.0087625,              0.0087625
                    127,                 1.4202,                 1.1919,                 1.5186,                0.72898,                0.67424,                0.69258,                0.38176,                 1.7641,                 1.4137,                 1.8953,              0.0087526,              0.0087526,              0.0087526
                    128,                 1.4304,                 1.1884,                 1.5218,                0.72154,                0.69357,                0.69183,                0.38126,                 1.7632,                 1.4135,                 1.8942,              0.0087427,              0.0087427,              0.0087427
                    129,                 1.4336,                 1.2024,                 1.5339,                0.72311,                0.69401,                 0.6924,                 0.3816,                 1.7633,                 1.4126,                 1.8936,              0.0087328,              0.0087328,              0.0087328
                    130,                 1.4372,                 1.1924,                 1.5224,                0.71732,                0.69601,                 0.6923,                0.38238,                 1.7628,                 1.4129,                 1.8926,              0.0087229,              0.0087229,              0.0087229
                    131,                  1.429,                 1.1774,                 1.5271,                0.71593,                0.69901,                0.69194,                0.38178,                 1.7619,                 1.4116,                 1.8917,               0.008713,               0.008713,               0.008713
                    132,                 1.4234,                 1.1852,                 1.5195,                0.71751,                0.69967,                0.69284,                0.38252,                 1.7621,                 1.4094,                 1.8917,              0.0087031,              0.0087031,              0.0087031
                    133,                   1.42,                 1.1787,                 1.5126,                0.71819,                0.69844,                0.69329,                0.38307,                 1.7618,                 1.4097,                 1.8919,              0.0086932,              0.0086932,              0.0086932
