                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                 1.8802,                 2.0717,                 1.8295,                0.57364,                0.49009,                0.51404,                 0.2567,                 1.8699,                 1.8071,                 1.8911,              0.0090397,              0.0090397,              0.0090397
                     99,                 1.8723,                 2.0696,                 1.8188,                0.60079,                0.48752,                0.51288,                0.25612,                 1.8715,                 1.8048,                 1.8914,              0.0090298,              0.0090298,              0.0090298
                    100,                 1.8746,                 2.0795,                 1.8244,                0.58573,                0.48987,                0.51409,                0.25714,                 1.8706,                 1.8019,                 1.8898,              0.0090199,              0.0090199,              0.0090199
                    101,                 1.8836,                 2.0782,                 1.8202,                0.57776,                0.49545,                0.51445,                0.25719,                 1.8667,                 1.7973,                  1.886,                0.00901,                0.00901,                0.00901
                    102,                 1.8746,                 2.0506,                 1.8156,                0.55798,                0.50051,                0.51088,                0.25682,                 1.8644,                 1.7944,                 1.8819,              0.0090001,              0.0090001,              0.0090001
                    103,                 1.8766,                 2.0509,                 1.8157,                0.56694,                0.50353,                0.51313,                0.25673,                 1.8639,                 1.7896,                 1.8805,              0.0089902,              0.0089902,              0.0089902
                    104,                 1.8675,                 2.0346,                 1.8098,                0.57396,                0.51074,                0.51649,                0.25864,                 1.8628,                  1.787,                 1.8786,              0.0089803,              0.0089803,              0.0089803
                    105,                 1.8579,                 2.0168,                 1.8067,                0.57552,                0.50882,                0.51716,                0.25811,                 1.8613,                 1.7857,                  1.878,              0.0089704,              0.0089704,              0.0089704
                    106,                 1.8612,                 2.0342,                 1.8207,                0.57846,                0.51627,                0.51896,                0.25926,                 1.8598,                 1.7849,                 1.8771,              0.0089605,              0.0089605,              0.0089605
                    107,                   1.86,                  2.048,                 1.8045,                0.57816,                0.52128,                0.51999,                0.26126,                   1.86,                 1.7829,                 1.8765,              0.0089506,              0.0089506,              0.0089506
